time,PWM1,PWM2,PWM Efforts,Joint Angle Current 1,Joint Angle Current 2,Joint Angle Desired 1,Joint Angle Desired 2
2.103057356,0,0,0.0,0,0,0,0
2.113251909,0,0,0.0,0,0,0,0
2.123290592,0,0,0.0,0,0,0,0
2.133133631,0,0,0.0,0,0,0,0
2.143170776,0,0,0.0,0,0,0,0
2.153396571,0,0,0.0,0,0,0,0
2.163258113,0,0,0.0,0,0,0,0
2.173232358,0,0,0.0,0,0,0,0
2.183268609,0,0,0.0,0,0,0,0
2.193096137,0,0,0.0,0,0,0,0
2.203185701,0,0,0.0,0,0,0,0
2.213359139,0,0,0.0,0,0,0,0
2.223261232,0,0,0.0,0,0,0,0
2.233172534,0,0,0.0,0,0,0,0
2.243310219,0,0,0.0,0,0,0,0
2.253343571,0,0,0.0,0,0,0,0
2.263398605,0,0,0.0,0,0,0,0
2.273063405,0,0,0.0,0,0,0,0
2.283275466,0,0,0.0,0,0,0,0
2.293302416,0,0,0.0,0,0,0,0
2.303262872,0,0,0.0,0,0,0,0
2.313007225,0,0,0.0,0,0,0,0
2.323380939,0,0,0.0,0,0,0,0
2.333194366,0,0,0.0,0,0,0,0
2.343036003,0,0,0.0,0,0,0,0
2.353101274,0,0,0.0,0,0,0,0
2.36339241,0,0,0.0,0,0,0,0
2.373438265,0,0,0.0,0,0,0,0
2.383336596,0,0,0.0,0,0,0,0
2.393013283,0,0,0.0,0,0,0,0
2.403616892,0,0,0.0,0,0,0,0
2.413741695,0,0,0.0,0,0,0,0
2.423277847,0,0,0.0,0,0,0,0
2.433304747,0,0,0.0,0,0,0,0
2.443263108,0,0,0.0,0,0,0,0
2.453730987,0,0,0.0,0,0,0,0
2.463768428,0,0,0.0,0,0,0,0
2.473173282,0,0,0.0,0,0,0,0
2.483462516,0,0,0.0,0,0,0,0
2.493140095,0,0,0.0,0,0,0,0
2.503463459,0,0,0.0,0,0,0,0
2.513352069,0,0,0.0,0,0,0,0
2.52301669,0,0,0.0,0,0,0,0
2.533151821,0,0,0.0,0,0,0,0
2.543987784,0,0,0.0,0,0,0,0
2.553303251,0,0,0.0,0,0,0,0
2.563361211,0,0,0.0,0,0,0,0
2.573205638,0,0,0.0,0,0,0,0
2.583343969,0,0,0.0,0,0,0,0
2.594484681,0,0,0.0,0,0,0,0
2.60329234,0,0,0.0,0,0,0,0
2.613506365,0,0,0.0,0,0,0,0
2.62329522,0,0,0.0,0,0,0,0
2.633342915,0,0,0.0,0,0,0,0
2.643368601,0,0,0.0,0,0,0,0
2.653146046,0,0,0.0,0,0,0,0
2.663448211,0,0,0.0,0,0,0,0
2.673188001,0,0,0.0,0,0,0,0
2.683402076,0,0,0.0,0,0,0,0
2.693448309,0,0,0.0,0,0,0,0
2.703417088,0,0,0.0,0,0,0,0
2.713086321,0,0,0.0,0,0,0,0
2.723275845,0,0,0.0,0,0,0,0
2.733008519,0,0,0.0,0,0,0,0
2.743260201,0,0,0.0,0,0,0,0
2.753339108,0,0,0.0,0,0,0,0
2.763329948,0,0,0.0,0,0,0,0
2.773377502,0,0,0.0,0,0,0,0
2.783368674,0,0,0.0,0,0,0,0
2.793217044,0,0,0.0,0,0,0,0
2.803145323,0,0,0.0,0,0,0,0
2.813145883,0,0,0.0,0,0,0,0
2.823292992,0,0,0.0,0,0,0,0
2.833136421,0,0,0.0,0,0,0,0
2.843347136,0,0,0.0,0,0,0,0
2.853062586,0,0,0.0,0,0,0,0
2.863191837,0,0,0.0,0,0,0,0
2.873333463,0,0,0.0,0,0,0,0
2.883246317,0,0,0.0,0,0,0,0
2.893334872,0,0,0.0,0,0,0,0
2.903285263,0,0,0.0,0,0,0,0
2.913489497,0,0,0.0,0,0,0,0
2.92316594,0,0,0.0,0,0,0,0
2.933315483,0,0,0.0,0,0,0,0
2.94322725,0,0,0.0,0,0,0,0
2.953176741,0,0,0.0,0,0,0,0
2.963384369,0,0,0.0,0,0,0,0
2.973088295,0,0,0.0,0,0,0,0
2.983290056,0,0,0.0,0,0,0,0
2.993128713,0,0,0.0,0,0,0,0
3.003232485,0,0,0.0,0,0,0,0
3.013228954,0,0,0.0,0,0,0,0
3.023377278,0,0,0.0,0,0,0,0
3.033474743,0,0,0.0,0,0,0,0
3.043097143,0,0,0.0,0,0,0,0
3.053131627,0,0,0.0,0,0,0,0
3.062963466,0,0,0.0,0,0,0,0
3.073087815,0,0,0.0,0,0,0,0
3.083169401,0,0,0.0,0,0,0,0
3.093139726,0,0,0.0,0,0,0,0
3.103327156,0,0,0.0,0,0,0,0
3.113130162,0,0,0.0,0,0,0,0
3.123215389,0,0,0.0,0,0,0,0
3.133060516,0,0,0.0,0,0,0,0
3.143286716,0,0,0.0,0,0,0,0
3.153255044,0,0,0.0,0,0,0,0
3.163213651,0,0,0.0,0,0,0,0
3.173317662,0,0,0.0,0,0,0,0
3.183262764,0,0,0.0,0,0,0,0
3.193585152,0,0,0.0,0,0,0,0
3.203333459,0,0,0.0,0,0,0,0
3.213396705,0,0,0.0,0,0,0,0
3.22313833,0,0,0.0,0,0,0,0
3.233228793,0,0,0.0,0,0,0,0
3.243115477,0,0,0.0,0,0,0,0
3.25324787,0,0,0.0,0,0,0,0
3.263306798,0,0,0.0,0,0,0,0
3.27327205,0,0,0.0,0,0,0,0
3.283254435,0,0,0.0,0,0,0,0
3.292984048,0,0,0.0,0,0,0,0
3.303158831,0,0,0.0,0,0,0,0
3.313285095,0,0,0.0,0,0,0,0
3.323439431,0,0,0.0,0,0,0,0
3.333265034,0,0,0.0,0,0,0,0
3.343378051,0,0,0.0,0,0,0,0
3.353160822,0,0,0.0,0,0,0,0
3.363158396,0,0,0.0,0,0,0,0
3.373287667,0,0,0.0,0,0,0,0
3.383088124,0,0,0.0,0,0,0,0
3.393045333,0,0,0.0,0,0,0,0
3.403179082,0,0,0.0,0,0,0,0
3.413221108,0,0,0.0,0,0,0,0
3.423201875,0,0,0.0,0,0,0,0
3.433287473,0,0,0.0,0,0,0,0
3.443225966,0,0,0.0,0,0,0,0
3.453513898,0,0,0.0,0,0,0,0
3.463160772,0,0,0.0,0,0,0,0
3.473164706,0,0,0.0,0,0,0,0
3.483033867,0,0,0.0,0,0,0,0
3.493084076,0,0,0.0,0,0,0,0
3.503286706,0,0,0.0,0,0,0,0
3.513381114,0,0,0.0,0,0,0,0
3.523087934,0,0,0.0,0,0,0,0
3.533499646,0,0,0.0,0,0,0,0
3.543198003,0,0,0.0,0,0,0,0
3.553061071,0,0,0.0,0,0,0,0
3.563447366,0,0,0.0,0,0,0,0
3.573231179,0,0,0.0,0,0,0,0
3.583338313,0,0,0.0,0,0,0,0
3.593080206,0,0,0.0,0,0,0,0
3.603402419,0,0,0.0,0,0,0,0
3.613206674,0,0,0.0,0,0,0,0
3.623618347,0,0,0.0,0,0,0,0
3.633293262,0,0,0.0,0,0,0,0
3.643091129,0,0,0.0,0,0,0,0
3.653460746,0,0,0.0,0,0,0,0
3.663367672,0,0,0.0,0,0,0,0
3.673267273,0,0,0.0,0,0,0,0
3.683364006,0,0,0.0,0,0,0,0
3.693470144,0,0,0.0,0,0,0,0
3.703036896,0,0,0.0,0,0,0,0
3.713304029,0,0,0.0,0,0,0,0
3.723300282,0,0,0.0,0,0,0,0
3.733332879,0,0,0.0,0,0,0,0
3.743373436,0,0,0.0,0,0,0,0
3.7531147,0,0,0.0,0,0,0,0
3.763348172,0,0,0.0,0,0,0,0
3.773392369,0,0,0.0,0,0,0,0
3.783319628,0,0,0.0,0,0,0,0
3.793698245,0,0,0.0,0,0,0,0
3.803499013,0,0,0.0,0,0,0,0
3.813377932,0,0,0.0,0,0,0,0
3.823185046,0,0,0.0,0,0,0,0
3.833416397,0,0,0.0,0,0,0,0
3.843285136,0,0,0.0,0,0,0,0
3.853225996,0,0,0.0,0,0,0,0
3.86311854,0,0,0.0,0,0,0,0
3.873135281,0,0,0.0,0,0,0,0
3.883211139,0,0,0.0,0,0,0,0
3.893147578,0,0,0.0,0,0,0,0
