time,PWM1,PWM2,PWM Efforts,Joint Angle Current 1,Joint Angle Current 2,Joint Angle Desired 1,Joint Angle Desired 2,Controller Name
128.6192,289.6236173169547,-178.63986189353773,6759972.6966303615,-32.002244749478606,36.510159075874036,-28.96236173169547,35.72797237870755,dummy
129.3271,171.07929821936736,-214.72246754835143,6813327.302968799,-18.601828843421675,45.40887728093581,-17.107929821936736,42.94449350967029,dummy
130.1965,-78.02415164717897,-223.05586590232338,6861879.921214726,8.458283521941569,47.50793398798293,7.802415164717896,44.611173180464675,dummy
131.0310,-267.79239324865904,-191.63130377753492,6952364.825594738,29.399430950364298,39.67856375846733,26.779239324865905,38.326260755506986,dummy
131.6096,-298.1008093395457,-149.89593146855245,7016781.078795844,33.538928088347895,29.642154029511964,29.81008093395457,29.979186293710487,dummy
131.9220,-273.6538856495579,-122.22796413669762,7044845.465874535,31.563290732573318,23.21622100120641,27.365388564955786,24.445592827339524,dummy
132.7857,-85.37877992481586,-32.35326100776155,7052044.991788221,13.485917459681673,3.5947095049995808,8.537877992481587,6.47065220155231,dummy
133.3329,77.54937589026298,29.331313441513526,7055806.604336086,-2.7976048707291783,-8.76429813147849,-7.754937589026298,-5.866262688302705,dummy
133.7546,188.995823477023,75.19740578647216,7073255.7289253995,-14.18709040315748,-17.36930043587039,-18.8995823477023,-15.039481157294432,dummy
134.3771,289.19655851434175,136.3113970759858,7136882.304887116,-24.941679256328772,-28.060110885086694,-28.919655851434175,-27.262279415197163,dummy
135.0946,270.0344411275012,190.63043004247356,7215277.855793331,-24.347443300071607,-36.81912768456245,-27.003444112750124,-38.12608600849471,dummy
135.7081,146.5329030970116,217.71559687368764,7257531.4411543645,-13.391326549400155,-40.925331982492665,-14.65329030970116,-43.54311937473753,dummy
135.9507,77.12735306660689,223.1012657398506,7271050.266616118,-7.064537339157822,-41.72109169318808,-7.712735306660688,-44.62025314797012,dummy
136.7430,-151.66957875899976,217.14472253862078,7326634.938092046,13.857322270445437,-40.84057940830198,15.166957875899977,-43.428944507724154,dummy
137.3340,-270.02371190952147,190.63533534740412,7391197.319032546,24.346544248335725,-36.819887089271376,27.002371190952147,-38.12706706948082,dummy
137.5452,-291.3363076075799,177.0642366944802,7415751.398263107,26.048560692617905,-34.697085096976174,29.13363076075799,-35.41284733889604,dummy
137.6816,-298.47067478947685,166.9284697158275,7431703.943721119,26.49453860126154,-33.08316191333819,29.847067478947686,-33.3856939431655,dummy
138.0628,-299.9816804409142,159.97571941154928,7475765.671122903,26.482224169010415,-31.961990602162565,29.99816804409142,-31.995143882309854,dummy
138.4612,-299.99986823962377,159.17356459117215,7521704.777217992,26.466110112750673,-31.83190122464509,29.999986823962374,-31.83471291823443,dummy
